experiment,treatment,sim.id,status,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma
dis,M,3770,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
dis,M,3771,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
dis,M,3772,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
dis,M,3773,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
dis,M,3774,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
mut,M,3665,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
mut,M,3666,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
mut,M,3667,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
mut,M,3668,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
mut,M,3669,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
mut,M,3670,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
mut,M,3671,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
mut,M,3672,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
mut,M,3673,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
mut,M,3674,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
mut,M,3765,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
mut,M,3766,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
mut,M,3767,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
mut,M,3768,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
mut,M,3769,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
mut,M,3770,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
mut,M,3771,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
mut,M,3772,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
mut,M,3773,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
mut,M,3774,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
mut,L,6205,completed,tropical,3,1.00E-08,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
mut,L,6206,completed,tropical,3,1.00E-08,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
