sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,n.regions,clade.origin.time
316,5180,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,718
316,5181,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,705
316,5182,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,705
316,5183,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,743
316,5184,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,661
316,5185,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,661
316,5186,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,690
316,5187,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,690
316,5188,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,697
316,5189,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,627
316,5190,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,540
316,5190,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,540
316,5191,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,540
316,5191,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,540
316,5192,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,540
316,5193,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,616
316,5194,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,594
316,5195,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,557
316,5196,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,557
316,5197,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,557
316,5198,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,636
316,5199,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,664
316,5200,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,619
316,5201,458,0.975055201626452,0.142492517461087,0.866025403784439,0.333333333333333,NA,NA,NA,NA,0.866025403784439,0.333333333333333,0.866025403784439,0.333333333333333,3,299
316,5201,611,0.975055201626452,0.142492517461087,0.866025403784439,0.333333333333333,-0.887851419276064,0.30439459266382,0.999487743576225,0.0203778034176276,-0.998967014488648,0.028938740669512,0.881583733158156,0.312955529915707,3,299
316,5201,764,0.978598957431191,0.0214010425688094,0.940027897915274,0.0599721020847257,-0.939684644470108,0.0603153555298915,0.945002317090929,0.0549976829090713,-0.836501556164965,0.163498443835035,0.841653130245589,0.158346869754411,4,299
316,5202,458,0.975055201626452,0.142492517461087,0.866025403784439,0.333333333333333,NA,NA,NA,NA,0.866025403784439,0.333333333333333,-0.866025403784439,0.333333333333333,3,299
