"sim.id","model","name","LH","aicc","delta.aicc","w","tau0","gamma","lamb0","mu0","alpha","beta","eps"
"5541-30000","1","Equilibrium constant rate",6869.54301242759,-13737.0845317607,1005.83313428007,0,0.09657,NA,NA,NA,NA,NA,NA
"5541-30000","2","Equilibrium variable rate",7163.20474482669,-14322.4050086975,420.512657343354,0,0.060659130679181,0.0233051751828965,NA,NA,NA,NA,NA
"5541-30000","3","Birth-death constant rates (coalescent approx)",7163.20504314715,-14322.4056053384,420.512060702436,0,NA,NA,0.06060592933291,0.0372804356803915,NA,NA,NA
"5541-30000","4a","Birth-death varying speciation constant extinction (coalescent approx)",7373.7721370972,-14741.5353089348,1.3823571060293,0.33,NA,NA,0.0614093490053884,0.0614093437952973,0.00790764442749904,NA,NA
"5541-30000","4b","Birth-death constant speciation varying extinction (coalescent approx)",7348.6860732286,-14691.3631811976,51.5544848432273,0,NA,NA,0.0724417396005567,0.0724417376345613,NA,-0.0133847670953403,NA
"5541-30000","4c","Birth-death constant extinction fraction (coalescent approx)",7231.92016729537,-14457.8313693311,285.086296709685,0,NA,NA,0.057088207585391,NA,0.0147328235406436,NA,0.867858268815614
"5541-30000","4d","Birth-death varying speciation and extinction (coalescent approx)",7375.46630686196,-14742.9176660408,0,0.67,NA,NA,0.0644795329723697,0.0644795293617677,0.00641122638402283,-0.00231273476718669,NA
"5541-30000","5","Pure birth constant speciation (coalescent approx)",7021.86484084972,-14041.728188605,701.189477435808,0,NA,NA,0.0367109375,NA,NA,NA,NA
"5541-30000","6","Pure birth varying speciation (coalescent approx)",7044.42103840122,-14084.8375958465,658.080070194306,0,NA,NA,0.0426621656984417,NA,-0.00492326151917306,NA,NA
"5542","1","Equilibrium constant rate",9921.31429557657,-19840.6271227244,175.997304414304,0,0.27889,NA,NA,NA,NA,NA,NA
"5542","2","Equilibrium variable rate",9944.00605306593,-19884.0076992277,132.61672791095,0,0.255709625053742,0.00722070496383102,NA,NA,NA,NA,NA
"5542","3","Birth-death constant rates (coalescent approx)",9944.00662781205,-19884.0088487199,132.61557841871,0,NA,NA,0.255923113997678,0.248728950830295,NA,NA,NA
"5542","4a","Birth-death varying speciation constant extinction (coalescent approx)",9386.1044937994,-18766.2001705525,1250.42425658614,0,NA,NA,0.13459862162251,9.74590691705272e-09,-0.0384743539055339,NA,NA
"5542","4b","Birth-death constant speciation varying extinction (coalescent approx)",10011.3166220925,-20016.6244271387,0,1,NA,NA,0.254963507296929,0.254963499076179,NA,-0.00139811604208341,NA
"5542","4c","Birth-death constant extinction fraction (coalescent approx)",9948.15019588329,-19890.2915747203,126.332852418363,0,NA,NA,0.252673729332091,NA,0.0042935211222727,NA,0.986051006360193
"5542","4d","Birth-death varying speciation and extinction (coalescent approx)",9824.30072340403,-19640.5867463303,376.037680808353,0,NA,NA,0.230079225322946,0.230079220223981,-0.0316716887009879,-0.0569657692174184,NA
"5542","5","Pure birth constant speciation (coalescent approx)",8114.93588839031,-16227.8703083518,3788.75411878681,0,NA,NA,0.04789453125,NA,NA,NA,NA
"5542","6","Pure birth varying speciation (coalescent approx)",9386.10449485324,-18768.2045828023,1248.41984433632,0,NA,NA,0.134602939401622,NA,-0.0384705550571906,NA,NA
"5542-30000","1","Equilibrium constant rate",6876.42402633812,-13750.8465656874,864.248309439712,0,0.09541,NA,NA,NA,NA,NA,NA
"5542-30000","2","Equilibrium variable rate",7112.89795353601,-14221.7914444465,393.303430680598,0,0.0627824111588665,0.0197447802683939,NA,NA,NA,NA,NA
"5542-30000","3","Birth-death constant rates (coalescent approx)",7112.89816444922,-14221.7918662729,393.303008854162,0,NA,NA,0.0627684001519076,0.0430060315388085,NA,NA,NA
"5542-30000","4a","Birth-death varying speciation constant extinction (coalescent approx)",7310.55190184926,-14615.0948751271,0,0.87,NA,NA,0.0752161531615867,0.0752161517068017,0.00553608200287064,NA,NA
"5542-30000","4b","Birth-death constant speciation varying extinction (coalescent approx)",7308.62833046231,-14611.2477323532,3.84714277390049,0.13,NA,NA,0.0715018280155218,0.0715018266599807,NA,-0.011189585933482,NA
